Value,Disaggregation combinations using this value,Number of indicators
Leisure and Hospitality,1,1
Manufacturing,1,1
"Mining, Logging, and Construction",1,1
Non-farm jobs,1,1
Other Services,1,1
"Trade, Transporation, and Utilities",1,1
