Value,Disaggregation combinations using this value,Number of indicators
1.00 to 1.24,1,1
1.25 to 1.49,1,1
1.50 to 1.84,1,1
1.85 to 1.99,1,1
2.00 and over,1,1
.50 to .99,1,1
Under .50,1,1
