Year,Units,Value
2012,Percent ,6.975
2013,Percent ,5.975
2014,Percent ,5.566666667
2015,Percent ,5.283333333
2016,Percent ,5.25
2017,Percent ,4.066666667
2018,Percent ,3.616666667
2019,Percent ,2.875
2020,Percent ,5.858333333
2021,Percent ,2.833333333
2022,Percent ,2.4
