Year,Units,Value
1986,Count,8
1989,Count,4
1991,Count,4
1992,Count,5
1994,Count,4
1997,Count,5
1998,Count,7
1999,Count,4
2000,Count,9
2004,Count,4
2006,Count,6
2007,Count,4
2009,Count,10
2010,Count,8
2011,Count,7
2014,Count,5
2016,Count,5
2018,Count,7
