Year,Gender,Race,Age Group,Value
2022,,,18-24,2.0
2022,,,25-34,5.0
2022,,,35-44,8.0
2022,,,45-64,7.0
2022,,,65 and over,4.8
2022,,White,,22.0
2022,,Black,,33.0
2022,,American Indian,,2.0
2022,,Asian,,13.0
2022,,Hispanic,,28.4
2022,Male,,,9.0
2022,Female,,,10.8
