Year,Value,Units
1999,227,Number of deaths by county
2000,238,Number of deaths by county
2001,245,Number of deaths by county
2002,206,Number of deaths by county
2003,222,Number of deaths by county
2004,246,Number of deaths by county
2005,238,Number of deaths by county
2006,187,Number of deaths by county
2007,212,Number of deaths by county
2008,244,Number of deaths by county
2009,241,Number of deaths by county
2010,238,Number of deaths by county
2011,252,Number of deaths by county
2012,259,Number of deaths by county
2013,336,Number of deaths by county
2014,337,Number of deaths by county
2015,323,Number of deaths by county
2016,295,Number of deaths by county
2017,322,Number of deaths by county
2018,340,Number of deaths by county
2019,353,Number of deaths by county
2020,339,Number of deaths by county
