Year,Value,Units
1986,8,Count
1989,4,Count
1991,4,Count
1992,5,Count
1994,4,Count
1997,5,Count
1998,7,Count
1999,4,Count
2000,9,Count
2004,4,Count
2006,6,Count
2007,4,Count
2009,10,Count
2010,8,Count
2011,7,Count
2014,5,Count
2016,5,Count
2018,7,Count
