Year,Race,Coverage,Units,Value
2019,,Lee County,Percent by county,4.2
2019,White,Lee County,Percent by county,2.4
2019,Black or Other,Lee County,Percent by county,8.1
2020,,Lee County,Percent by county,6.0
2020,White,Lee County,Percent by county,4.1
2020,Black or Other,Lee County,Percent by county,9.8
2021,,Lee County,Percent by county,7.4
2021,White,Lee County,Percent by county,4.4
2021,Black or Other,Lee County,Percent by county,14.8
