Year,Gender,Race,Age Group,Units,Value
2022,,,18-24,Percent,2.0
2022,,,25-34,Percent,5.0
2022,,,35-44,Percent,8.0
2022,,,45-64,Percent,7.0
2022,,,65 and over,Percent,4.8
2022,,White,,Percent,22.0
2022,,Black,,Percent,33.0
2022,,American Indian,,Percent,2.0
2022,,Asian,,Percent,13.0
2022,,Hispanic,,Percent,28.4
2022,Male,,,Percent,9.0
2022,Female,,,Percent,10.8
